char_name,sol,ky,may,axl,chipp,potemkin,faust,millia,zato,ramlethal,leo,nagoriyuki,giovanna,anji,i-no,goldlewis,jack-o
sol,0.5,0.5,0.5,0.5769230769230769,0.5,0.3888888888888889,0.4642857142857143,0.43333333333333335,0.5,0.47,0.44,0.27450980392156865,0.5111111111111111,0.44,0.3684210526315789,0.5,0.68
ky,0.5,0.5,0.4909090909090909,0.3333333333333333,0.5,0.43333333333333335,0.36,0.5,0.5526315789473685,0.4782608695652174,0.42424242424242425,0.5454545454545454,0.4827586206896552,0.55,0.4,0.6428571428571429,0.5
may,0.5,0.509090909090909,0.5,0.8,0.625,0.5806451612903226,0.875,0.5769230769230769,0.5882352941176471,0.34285714285714286,0.4444444444444444,0.4722222222222222,0.5609756097560976,0.25,0.5714285714285714,0.7142857142857143,1.0
axl,0.4230769230769231,0.6666666666666666,0.2,0.5,0.6,0.2,0.5882352941176471,0.5,0.5454545454545454,0.42857142857142855,0.5263157894736842,0.0,0.5833333333333334,0.42857142857142855,0.3333333333333333,0.75,0.6
chipp,0.5,0.5,0.375,0.4,0.5,0.35714285714285715,0.38461538461538464,0.5,0.18181818181818182,0.23529411764705882,0.19230769230769232,0.16666666666666666,0.47368421052631576,0.2857142857142857,0.7,0.25,0.45
potemkin,0.6111111111111112,0.5666666666666667,0.41935483870967744,0.8,0.6428571428571429,0.5,0.5384615384615384,0.5897435897435898,0.8125,0.5641025641025641,0.56,0.6956521739130435,0.6756756756756757,0.5833333333333334,0.7037037037037037,1.0,0.45454545454545453
faust,0.5357142857142857,0.64,0.125,0.4117647058823529,0.6153846153846154,0.46153846153846156,0.5,0.5185185185185185,0.75,0.27586206896551724,0.6153846153846154,0.45,0.35714285714285715,0.2727272727272727,0.5882352941176471,0.0,0.2857142857142857
millia,0.5666666666666667,0.5,0.4230769230769231,0.5,0.5,0.41025641025641024,0.48148148148148145,0.5,0.4117647058823529,0.4482758620689655,0.6129032258064516,0.6730769230769231,0.5,0.3333333333333333,0.53125,0.0,0.5555555555555556
zato,0.5,0.4473684210526316,0.4117647058823529,0.45454545454545453,0.8181818181818182,0.1875,0.25,0.5882352941176471,0.5,0.2631578947368421,0.6,0.4,0.5681818181818182,1.0,0.4375,0.5,0.6666666666666666
ramlethal,0.53,0.5217391304347826,0.6571428571428571,0.5714285714285714,0.7647058823529411,0.4358974358974359,0.7241379310344828,0.5517241379310345,0.7368421052631579,0.5,0.5,0.4222222222222222,0.5555555555555556,0.41935483870967744,0.5454545454545454,0.6666666666666666,0.5
leo,0.56,0.5757575757575758,0.5555555555555556,0.47368421052631576,0.8076923076923077,0.44,0.38461538461538464,0.3870967741935484,0.4,0.5,0.5,0.3333333333333333,0.4878048780487805,0.5,0.7142857142857143,0.5333333333333333,0.2
nagoriyuki,0.7254901960784313,0.45454545454545453,0.5277777777777778,1.0,0.8333333333333334,0.30434782608695654,0.55,0.3269230769230769,0.6,0.5777777777777777,0.6666666666666666,0.5,0.6041666666666666,0.2727272727272727,0.4411764705882353,1.0,0.2727272727272727
giovanna,0.4888888888888889,0.5172413793103449,0.43902439024390244,0.4166666666666667,0.5263157894736842,0.32432432432432434,0.6428571428571429,0.5,0.4318181818181818,0.4444444444444444,0.5121951219512195,0.3958333333333333,0.5,0.38095238095238093,0.5238095238095238,0.375,0.5185185185185185
anji,0.56,0.45,0.75,0.5714285714285714,0.7142857142857143,0.4166666666666667,0.7272727272727273,0.6666666666666666,0.0,0.5806451612903226,0.5,0.7272727272727273,0.6190476190476191,0.0,0.5714285714285714,0.6666666666666666,0.8333333333333334
i-no,0.631578947368421,0.6,0.42857142857142855,0.6666666666666666,0.3,0.2962962962962963,0.4117647058823529,0.46875,0.5625,0.45454545454545453,0.2857142857142857,0.5588235294117647,0.47619047619047616,0.42857142857142855,0.5,1.0,0.8333333333333334
goldlewis,0.5,0.35714285714285715,0.2857142857142857,0.25,0.75,0.0,0.0,1.0,0.5,0.3333333333333333,0.4666666666666667,0.0,0.625,0.3333333333333333,0.0,0.0,0.14285714285714285
jack-o,0.32,0.5,0.0,0.4,0.55,0.5454545454545454,0.7142857142857143,0.4444444444444444,0.3333333333333333,0.5,0.8,0.7272727272727273,0.48148148148148145,0.16666666666666666,0.16666666666666666,0.8571428571428571,0.5
