char_name,sol,ky,may,axl,chipp,potemkin,faust,millia,zato,ramlethal,leo,nagoriyuki,giovanna,anji,i-no,goldlewis,jack-o
sol,0.0,0.25,0.0,0.0,0.6,0.5714285714285714,0.0,0.3,0.0,0.5,1.0,0.3333333333333333,0.9230769230769231,0.0,0.6666666666666666,0.0,0.0
ky,0.75,0.5,0.5,1.0,1.0,0.0,0.42857142857142855,0.7142857142857143,0.5,0.5384615384615384,0.0,0.0,0.75,0.0,0.0,0.5,1.0
may,0.0,0.5,0.0,0.0,0.75,1.0,0.0,0.75,1.0,0.75,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,1.0
axl,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,1.0,0.25,0.0,1.0,1.0,1.0,0.2857142857142857,0.0,0.6666666666666666,0.0,0.0
chipp,0.4,0.0,0.25,0.3333333333333333,0.5,0.16666666666666666,0.42857142857142855,0.18181818181818182,0.0,0.42857142857142855,0.5,0.0,0.6,0.0,0.16666666666666666,0.0,0.0
potemkin,0.42857142857142855,0.0,0.0,0.0,0.8333333333333334,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0
faust,1.0,0.5714285714285714,0.0,0.0,0.5714285714285714,0.6666666666666666,0.5,0.16666666666666666,0.5,0.8571428571428571,0.0,1.0,0.5555555555555556,0.0,0.0,0.5,0.3333333333333333
millia,0.7,0.2857142857142857,0.25,0.75,0.8181818181818182,0.6666666666666666,0.8333333333333334,0.5,1.0,0.0,1.0,0.0,0.5384615384615384,0.0,0.0,0.0,1.0
zato,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
ramlethal,0.5,0.46153846153846156,0.25,0.0,0.5714285714285714,0.0,0.14285714285714285,1.0,0.0,0.5,0.0,0.5454545454545454,0.7837837837837838,0.6666666666666666,0.5416666666666666,0.2,0.6
leo,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.0
nagoriyuki,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45454545454545453,0.5,0.0,0.625,0.0,1.0,0.0,0.0
giovanna,0.07692307692307693,0.25,0.2222222222222222,0.7142857142857143,0.4,0.2,0.4444444444444444,0.46153846153846156,1.0,0.21621621621621623,0.0,0.375,0.5,0.5,0.125,0.3333333333333333,0.5833333333333334
anji,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.0,0.0
i-no,0.3333333333333333,0.0,0.0,0.3333333333333333,0.8333333333333334,0.0,0.0,1.0,0.6666666666666666,0.4583333333333333,0.0,0.0,0.875,0.0,0.0,0.36363636363636365,0.0
goldlewis,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.8,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6363636363636364,0.0,0.0
jack-o,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.4,1.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0
