char_name,sol,ky,may,axl,chipp,potemkin,faust,millia,zato,ramlethal,leo,nagoriyuki,giovanna,anji,i-no,goldlewis,jack-o
sol,0.5,0.4847328244274809,0.41,0.6388888888888888,0.56,0.3351063829787234,0.39166666666666666,0.5374149659863946,0.43373493975903615,0.4945652173913043,0.48760330578512395,0.3963963963963964,0.5420560747663551,0.43478260869565216,0.50625,0.4647887323943662,0.676923076923077
ky,0.5152671755725191,0.5,0.46405228758169936,0.4153846153846154,0.477124183006536,0.453125,0.5,0.6270270270270271,0.47058823529411764,0.5477386934673367,0.47337278106508873,0.4805194805194805,0.5089285714285714,0.4270833333333333,0.5053763440860215,0.4956521739130435,0.5569620253164557
may,0.59,0.5359477124183006,0.5,0.76,0.6767676767676768,0.48863636363636365,0.5641025641025641,0.4457831325301205,0.6,0.52,0.5441176470588235,0.4117647058823529,0.4838709677419355,0.5102040816326531,0.4823529411764706,0.5652173913043478,0.5507246376811594
axl,0.3611111111111111,0.5846153846153846,0.24,0.5,0.45161290322580644,0.5714285714285714,0.559322033898305,0.4642857142857143,0.391304347826087,0.21875,0.5,0.55,0.4339622641509434,0.6388888888888888,0.5,0.6428571428571429,0.6428571428571429
chipp,0.44,0.5228758169934641,0.32323232323232326,0.5483870967741935,0.5,0.5436893203883495,0.525,0.5092592592592593,0.4074074074074074,0.34210526315789475,0.38461538461538464,0.4805194805194805,0.5147058823529411,0.5416666666666666,0.5,0.2916666666666667,0.4230769230769231
potemkin,0.6648936170212766,0.546875,0.5113636363636364,0.42857142857142855,0.4563106796116505,0.5,0.5384615384615384,0.5958904109589042,0.5588235294117647,0.4880952380952381,0.5445544554455446,0.44886363636363635,0.5606060606060606,0.5054945054945055,0.5784313725490197,0.4782608695652174,0.527027027027027
faust,0.6083333333333333,0.5,0.4358974358974359,0.4406779661016949,0.475,0.46153846153846156,0.5,0.6338028169014085,0.3541666666666667,0.5164835164835165,0.42857142857142855,0.5157894736842106,0.5,0.3392857142857143,0.47619047619047616,0.5084745762711864,0.6521739130434783
millia,0.46258503401360546,0.372972972972973,0.5542168674698795,0.5357142857142857,0.49074074074074076,0.4041095890410959,0.36619718309859156,0.5,0.603448275862069,0.40594059405940597,0.3968253968253968,0.37662337662337664,0.63,0.44776119402985076,0.36619718309859156,0.36363636363636365,0.484375
zato,0.5662650602409639,0.5294117647058824,0.4,0.6086956521739131,0.5925925925925926,0.4411764705882353,0.6458333333333334,0.39655172413793105,0.0,0.6039603960396039,0.42,0.4263565891472868,0.5641025641025641,0.45161290322580644,0.49382716049382713,0.2708333333333333,0.5882352941176471
ramlethal,0.5054347826086957,0.45226130653266333,0.48,0.78125,0.6578947368421053,0.5119047619047619,0.4835164835164835,0.594059405940594,0.39603960396039606,0.5,0.38095238095238093,0.4803921568627451,0.538961038961039,0.43137254901960786,0.6116504854368932,0.4897959183673469,0.5
leo,0.512396694214876,0.5266272189349113,0.45588235294117646,0.5,0.6153846153846154,0.45544554455445546,0.5714285714285714,0.6031746031746031,0.58,0.6190476190476191,0.5,0.42574257425742573,0.5888888888888889,0.3548387096774194,0.36065573770491804,0.5,0.4791666666666667
nagoriyuki,0.6036036036036037,0.5194805194805194,0.5882352941176471,0.45,0.5194805194805194,0.5511363636363636,0.4842105263157895,0.6233766233766234,0.5736434108527132,0.5196078431372549,0.5742574257425742,0.5,0.5714285714285714,0.4868421052631579,0.6057692307692307,0.4878048780487805,0.4375
giovanna,0.45794392523364486,0.49107142857142855,0.5161290322580645,0.5660377358490566,0.4852941176470588,0.4393939393939394,0.5,0.37,0.4358974358974359,0.461038961038961,0.4111111111111111,0.42857142857142855,0.5,0.45454545454545453,0.4583333333333333,0.5384615384615384,0.47540983606557374
anji,0.5652173913043478,0.5729166666666666,0.4897959183673469,0.3611111111111111,0.4583333333333333,0.4945054945054945,0.6607142857142857,0.5522388059701493,0.5483870967741935,0.5686274509803921,0.6451612903225806,0.5131578947368421,0.5454545454545454,0.5,0.5161290322580645,0.5121951219512195,0.5142857142857142
i-no,0.49375,0.4946236559139785,0.5176470588235295,0.5,0.5,0.4215686274509804,0.5238095238095238,0.6338028169014085,0.5061728395061729,0.3883495145631068,0.639344262295082,0.3942307692307692,0.5416666666666666,0.4838709677419355,0.5,0.4375,0.6888888888888889
goldlewis,0.5352112676056338,0.5043478260869565,0.43478260869565216,0.35714285714285715,0.7083333333333334,0.5217391304347826,0.4915254237288136,0.6363636363636364,0.7291666666666666,0.5102040816326531,0.5,0.5121951219512195,0.46153846153846156,0.4878048780487805,0.5625,0.5,0.23809523809523808
jack-o,0.3230769230769231,0.4430379746835443,0.4492753623188406,0.35714285714285715,0.5769230769230769,0.47297297297297297,0.34782608695652173,0.515625,0.4117647058823529,0.5,0.5208333333333334,0.5625,0.5245901639344263,0.4857142857142857,0.3111111111111111,0.7619047619047619,0.5
