char_name,sol,ky,may,axl,chipp,potemkin,faust,millia,zato,ramlethal,leo,nagoriyuki,giovanna,anji,i-no,goldlewis,jack-o
sol,0.5,0.5697674418604651,0.55,0.4880952380952381,0.3983739837398374,0.39114391143911437,0.5588235294117647,0.5751633986928104,0.5,0.53125,0.5625,0.4600760456273764,0.47701149425287354,0.4393939393939394,0.5333333333333333,0.5882352941176471,0.5535714285714286
ky,0.43023255813953487,0.5,0.4857142857142857,0.47368421052631576,0.5222929936305732,0.5084745762711864,0.5051020408163265,0.5281385281385281,0.5043859649122807,0.4474393530997305,0.5454545454545454,0.5210918114143921,0.48242811501597443,0.47058823529411764,0.5245901639344263,0.38345864661654133,0.3493975903614458
may,0.45,0.5142857142857142,0.5,0.6530612244897959,0.525,0.5157894736842106,0.5125,0.5048543689320388,0.5357142857142857,0.5631067961165048,0.4891304347826087,0.4357142857142857,0.4755244755244755,0.44565217391304346,0.6515151515151515,0.45901639344262296,0.6666666666666666
axl,0.5119047619047619,0.5263157894736842,0.3469387755102041,0.5,0.16326530612244897,0.6170212765957447,0.6,0.5217391304347826,0.5925925925925926,0.4492753623188406,0.5434782608695652,0.6119402985074627,0.5614035087719298,0.3125,0.6666666666666666,0.8461538461538461,0.4166666666666667
chipp,0.6016260162601627,0.47770700636942676,0.475,0.8367346938775511,0.5,0.4608695652173913,0.5324675324675324,0.5,0.578125,0.4794520547945205,0.3684210526315789,0.4936708860759494,0.5393258426966292,0.3269230769230769,0.45454545454545453,0.6190476190476191,0.42424242424242425
potemkin,0.6088560885608856,0.4915254237288136,0.4842105263157895,0.3829787234042553,0.5391304347826087,0.5,0.46956521739130436,0.6129032258064516,0.5684210526315789,0.42857142857142855,0.5670103092783505,0.5515463917525774,0.5854922279792746,0.5755395683453237,0.5118110236220472,0.4,0.6304347826086957
faust,0.4411764705882353,0.49489795918367346,0.4875,0.4,0.4675324675324675,0.5304347826086957,0.5,0.4810126582278481,0.4745762711864407,0.3626373626373626,0.4411764705882353,0.45901639344262296,0.391304347826087,0.28865979381443296,0.2807017543859649,0.45588235294117646,0.53125
millia,0.42483660130718953,0.47186147186147187,0.49514563106796117,0.4782608695652174,0.5,0.3870967741935484,0.5189873417721519,0.5,0.3387096774193548,0.5789473684210527,0.40217391304347827,0.4875,0.4642857142857143,0.5657894736842105,0.3888888888888889,0.5106382978723404,0.46153846153846156
zato,0.5,0.4956140350877193,0.4642857142857143,0.4074074074074074,0.421875,0.43157894736842106,0.5254237288135594,0.6612903225806451,0.5,0.5365853658536586,0.5294117647058824,0.5106382978723404,0.4492753623188406,0.4146341463414634,0.36538461538461536,0.5,0.5882352941176471
ramlethal,0.46875,0.5525606469002695,0.4368932038834951,0.5507246376811594,0.5205479452054794,0.5714285714285714,0.6373626373626373,0.42105263157894735,0.4634146341463415,0.5,0.5342465753424658,0.5568181818181818,0.4626865671641791,0.6265060240963856,0.5444444444444444,0.5588235294117647,0.46875
leo,0.4375,0.45454545454545453,0.5108695652173914,0.45652173913043476,0.631578947368421,0.4329896907216495,0.5588235294117647,0.5978260869565217,0.47058823529411764,0.4657534246575342,0.5,0.53125,0.6106194690265486,0.5056179775280899,0.4888888888888889,0.3829787234042553,0.5333333333333333
nagoriyuki,0.5399239543726235,0.47890818858560796,0.5642857142857143,0.3880597014925373,0.5063291139240507,0.4484536082474227,0.5409836065573771,0.5125,0.48936170212765956,0.4431818181818182,0.46875,0.5,0.49635036496350365,0.5035460992907801,0.496551724137931,0.44,0.5217391304347826
giovanna,0.5229885057471264,0.5175718849840255,0.5244755244755245,0.43859649122807015,0.4606741573033708,0.41450777202072536,0.6086956521739131,0.5357142857142857,0.5507246376811594,0.5373134328358209,0.3893805309734513,0.5036496350364964,0.5,0.425531914893617,0.4266666666666667,0.37735849056603776,0.5909090909090909
anji,0.5606060606060606,0.5294117647058824,0.5543478260869565,0.6875,0.6730769230769231,0.4244604316546763,0.711340206185567,0.4342105263157895,0.5853658536585366,0.37349397590361444,0.4943820224719101,0.49645390070921985,0.574468085106383,0.5,0.575,0.4375,0.5714285714285714
i-no,0.4666666666666667,0.47540983606557374,0.3484848484848485,0.3333333333333333,0.5454545454545454,0.4881889763779528,0.7192982456140351,0.6111111111111112,0.6346153846153846,0.45555555555555555,0.5111111111111111,0.503448275862069,0.5733333333333334,0.425,0.5,0.5,0.7169811320754716
goldlewis,0.4117647058823529,0.6165413533834586,0.5409836065573771,0.15384615384615385,0.38095238095238093,0.6,0.5441176470588235,0.48936170212765956,0.5,0.4411764705882353,0.6170212765957447,0.56,0.6226415094339622,0.5625,0.5,0.5,0.5925925925925926
jack-o,0.44642857142857145,0.6506024096385542,0.3333333333333333,0.5833333333333334,0.5757575757575758,0.3695652173913043,0.46875,0.5384615384615384,0.4117647058823529,0.53125,0.4666666666666667,0.4782608695652174,0.4090909090909091,0.42857142857142855,0.2830188679245283,0.4074074074074074,0.5
