char_name,sol,ky,may,axl,chipp,potemkin,faust,millia,zato,ramlethal,leo,nagoriyuki,giovanna,anji,i-no,goldlewis,jack-o
sol,0.5,0.5,0.5652173913043478,0.7222222222222222,0.47540983606557374,0.4074074074074074,0.5675675675675675,0.5217391304347826,0.5806451612903226,0.5137614678899083,0.38461538461538464,0.43037974683544306,0.61,0.5294117647058824,0.4603174603174603,0.3076923076923077,0.4642857142857143
ky,0.5,0.5,0.44155844155844154,0.5769230769230769,0.5161290322580645,0.4470588235294118,0.5957446808510638,0.5161290322580645,0.6341463414634146,0.5547945205479452,0.62,0.5888888888888889,0.5432692307692307,0.5166666666666667,0.5510204081632653,0.35,0.5135135135135135
may,0.43478260869565216,0.5584415584415584,0.5,0.6842105263157895,0.5882352941176471,0.6153846153846154,0.5714285714285714,0.6666666666666666,0.5625,0.5681818181818182,0.47619047619047616,0.43243243243243246,0.52,0.5,0.38095238095238093,0.6428571428571429,0.16666666666666666
axl,0.2777777777777778,0.4230769230769231,0.3157894736842105,0.5,0.8333333333333334,0.625,0.5,0.4375,0.75,0.391304347826087,0.3333333333333333,0.5588235294117647,0.3888888888888889,0.3,0.47368421052631576,0.3333333333333333,0.5294117647058824
chipp,0.5245901639344263,0.4838709677419355,0.4117647058823529,0.16666666666666666,0.5,0.3220338983050847,0.3125,0.6571428571428571,0.5882352941176471,0.5892857142857143,0.5294117647058824,0.5833333333333334,0.56,0.5555555555555556,0.2916666666666667,0.07142857142857142,0.5625
potemkin,0.5925925925925926,0.5529411764705883,0.38461538461538464,0.375,0.6779661016949152,0.5,0.4473684210526316,0.6875,0.4772727272727273,0.6301369863013698,0.6071428571428571,0.49230769230769234,0.6886792452830188,0.5740740740740741,0.5925925925925926,1.0,0.4722222222222222
faust,0.43243243243243246,0.40425531914893614,0.42857142857142855,0.5,0.6875,0.5526315789473685,0.5,0.5952380952380952,0.4444444444444444,0.4657534246575342,0.6666666666666666,0.6363636363636364,0.5,0.5,0.5862068965517241,0.5333333333333333,0.4074074074074074
millia,0.4782608695652174,0.4838709677419355,0.3333333333333333,0.5625,0.34285714285714286,0.3125,0.40476190476190477,0.5,0.8125,0.4482758620689655,0.45,0.6060606060606061,0.48148148148148145,0.42105263157894735,0.7777777777777778,0.1111111111111111,0.39622641509433965
zato,0.41935483870967744,0.36585365853658536,0.4375,0.25,0.4117647058823529,0.5227272727272727,0.5555555555555556,0.1875,0.5,0.3559322033898305,0.45,0.5833333333333334,0.4631578947368421,0.4375,0.5,0.0,0.5384615384615384
ramlethal,0.48623853211009177,0.4452054794520548,0.4318181818181818,0.6086956521739131,0.4107142857142857,0.3698630136986301,0.5342465753424658,0.5517241379310345,0.6440677966101694,0.5,0.3611111111111111,0.5789473684210527,0.5103448275862069,0.603448275862069,0.5166666666666667,0.6,0.2962962962962963
leo,0.6153846153846154,0.38,0.5238095238095238,0.6666666666666666,0.47058823529411764,0.39285714285714285,0.3333333333333333,0.55,0.55,0.6388888888888888,0.0,0.4782608695652174,0.5873015873015873,0.8,0.43478260869565216,0.4666666666666667,0.4444444444444444
nagoriyuki,0.569620253164557,0.4111111111111111,0.5675675675675675,0.4411764705882353,0.4166666666666667,0.5076923076923077,0.36363636363636365,0.3939393939393939,0.4166666666666667,0.42105263157894735,0.5217391304347826,0.5,0.532608695652174,0.2,0.5,0.7272727272727273,0.9166666666666666
giovanna,0.39,0.4567307692307692,0.48,0.6111111111111112,0.44,0.3113207547169811,0.5,0.5185185185185185,0.5368421052631579,0.4896551724137931,0.4126984126984127,0.4673913043478261,0.5,0.6271186440677966,0.5862068965517241,0.38461538461538464,0.43478260869565216
anji,0.47058823529411764,0.48333333333333334,0.5,0.7,0.4444444444444444,0.42592592592592593,0.5,0.5789473684210527,0.5625,0.39655172413793105,0.2,0.8,0.3728813559322034,0.5,0.3076923076923077,0.0,0.5909090909090909
i-no,0.5396825396825397,0.4489795918367347,0.6190476190476191,0.5263157894736842,0.7083333333333334,0.4074074074074074,0.41379310344827586,0.2222222222222222,0.5,0.48333333333333334,0.5652173913043478,0.5,0.41379310344827586,0.6923076923076923,0.5,0.0,0.1111111111111111
goldlewis,0.6923076923076923,0.65,0.35714285714285715,0.6666666666666666,0.9285714285714286,0.0,0.4666666666666667,0.8888888888888888,0.0,0.4,0.5333333333333333,0.2727272727272727,0.6153846153846154,1.0,1.0,0.0,0.8
jack-o,0.5357142857142857,0.4864864864864865,0.8333333333333334,0.47058823529411764,0.4375,0.5277777777777778,0.5925925925925926,0.6037735849056604,0.46153846153846156,0.7037037037037037,0.5555555555555556,0.08333333333333333,0.5652173913043478,0.4090909090909091,0.8888888888888888,0.2,0.5
