char_name,sol,ky,may,axl,chipp,potemkin,faust,millia,zato,ramlethal,leo,nagoriyuki,giovanna,anji,i-no,goldlewis,jack-o
sol,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0
ky,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0
may,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0
axl,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0
chipp,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0
potemkin,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0
faust,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0
millia,0,0,0,0,0,0,0,0.0,0,0,0,0,0.5,0,0.0,0,0
zato,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0
ramlethal,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0
leo,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0
nagoriyuki,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0
giovanna,0,0,0,0,0,0,0,0.5,0,0,0,0,0.0,0,0.0,0,0
anji,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0
i-no,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,0,0.0,0,0
goldlewis,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0
jack-o,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0
